"Specimen.ID","Year","Serotype","Region.Name","Equiv","Rslt","Concl","ConclPred"
"AM45715",2010,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM20344",2004,"I 4,[5],12:i:-","Region 3","=",0.5,"S",""
"AM40180",2009,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM37426",2008,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM20753",2004,"I 4,[5],12:i:-","Region 6","=",0.5,"S",""
"AM21313",2004,"I 4,[5],12:i:-","Region 2","=",0.5,"S",""
"AM49265",2011,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM35271",2008,"I 4,[5],12:i:-","Region 7","=",1,"S",""
"AM26223",2006,"I 4,[5],12:i:-","Region 4",">",8,"R",""
"AM35502",2008,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"AM34085",2007,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM36577",2008,"I 4,[5],12:i:-","Region 6","=",1,"S",""
"AM29051",2006,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"AM32364",2007,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM51357",2012,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM29358",2006,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"AM48739",2011,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM26298",2006,"I 4,[5],12:i:-","Region 9","=",0.5,"S",""
"AM44919",2010,"I 4,[5],12:i:-","Region 10","=",0.5,"S",""
"AM34346",2007,"I 4,[5],12:i:-","Region 3","=",0.5,"S",""
"AM41324",2009,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM29574",2006,"I 4,[5],12:i:-","Region 6","=",1,"S",""
"AM27339",2006,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM47103",2011,"I 4,[5],12:i:-","Region 7","=",0.5,"S",""
"AM38198",2009,"I 4,[5],12:i:-","Region 3","=",0.5,"S",""
"AM34090",2007,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM27178",2006,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM34838",2008,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM49706",2011,"I 4,[5],12:i:-","Region 2","=",0.5,"S",""
"AM47542",2011,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM38406",2009,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM15769",2002,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM33496",2007,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM37438",2008,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM15401",2002,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM51514",2012,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM17726",2003,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM20639",2004,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM42987",2010,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM25308",2005,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM16251",2003,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM51104",2012,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM35089",2007,"I 4,[5],12:i:-","Region 8","=",1,"S",""
"AM26977",2006,"I 4,[5],12:i:-","Region 1","=",0.5,"S",""
"AM12506",2002,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM08343",2000,"I 4,[5],12:i:-","Region 4","<=",0.5,"S",""
"AM38099",2008,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM12505",2002,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM47946",2011,"I 4,[5],12:i:-","Region 4",">",8,"R",""
"AM11781",2001,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"AM33424",2007,"I 4,[5],12:i:-","Region 1","=",0.5,"S",""
"AM40100",2009,"I 4,[5],12:i:-","Region 10","=",1,"S",""
"AM44457",2010,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM01887",1997,"I 4,[5],12:i:-","Region 10","=",0.5,"S",""
"AM48751",2011,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"AM43216",2010,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"AM29658",2006,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM40779",2009,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM35852",2008,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM37388",2008,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM26914",2006,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"2012AM-0009",2012,"I 4,[5],12:i:-","Region 8","=",1,"S",""
"2012AM-0055",2012,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"2012AM-0054",2012,"I 4,[5],12:i:-","Region 2","=",0.5,"S",""
"2012AM-0053",2012,"I 4,[5],12:i:-","Region 2","=",0.5,"S",""
"2012AM-1039",2012,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2012AM-0189",2012,"I 4,[5],12:i:-","Region 10","=",1,"S",""
"2012AM-0350",2012,"I 4,[5],12:i:-","Region 6","=",2,"S",""
"2012AM-0293",2012,"I 4,[5],12:i:-","Region 7","=",0.5,"S",""
"2012AM-0262",2012,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"2012AM-0281",2012,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"2012AM-0280",2012,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"2012AM-0314",2012,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"2012AM-0312",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-0313",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-0451",2012,"I 4,[5],12:i:-","Region 6","=",1,"S",""
"2012AM-0450",2012,"I 4,[5],12:i:-","Region 6","=",1,"S",""
"2012AM-0662",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-0661",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-0660",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-0688",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-0764",2012,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"2012AM-0763",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-0762",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-0761",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-0797",2012,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2012AM-0796",2012,"I 4,[5],12:i:-","Region 3","=",2,"S",""
"2012AM-0943",2012,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2012AM-0942",2012,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2012AM-0846",2012,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2012AM-1310",2012,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2012AM-1308",2012,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2012AM-1101",2012,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2012AM-1264",2012,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2012AM-1263",2012,"I 4,[5],12:i:-","Region 9","=",2,"S",""
"2012AM-1262",2012,"I 4,[5],12:i:-","Region 9","=",0.5,"S",""
"2012AM-1359",2012,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2012AM-1415",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-1414",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-1871",2012,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2012AM-1555",2012,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"2012AM-1797",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2012AM-1683",2012,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2012AM-1682",2012,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2012AM-1720",2012,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2012AM-1719",2012,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2012AM-1763",2012,"I 4,[5],12:i:-","Region 3","=",0.5,"S",""
"2012AM-1778",2012,"I 4,[5],12:i:-","Region 8","=",1,"S",""
"2012AM-1777",2012,"I 4,[5],12:i:-","Region 8","=",1,"S",""
"2012AM-1880",2012,"I 4,[5],12:i:-","Region 8","=",0.5,"S",""
"2012AM-1879",2012,"I 4,[5],12:i:-","Region 8","=",1,"S",""
"2012AM-1993",2012,"I 4,[5],12:i:-","Region 7","=",1,"S",""
"2012AM-1992",2012,"I 4,[5],12:i:-","Region 7","=",1,"S",""
"2012AM-1994",2012,"I 4,[5],12:i:-","Region 7","=",1,"S",""
